time	V(vgnd)	V(vraw)
3.392400000000004e-03	1.180823e+01	2.346063e+01
3.402400000000004e-03	1.180821e+01	2.346063e+01
3.412400000000004e-03	1.180820e+01	2.346063e+01
3.422400000000004e-03	1.180818e+01	2.346063e+01
3.432400000000004e-03	1.180816e+01	2.346063e+01
3.442400000000004e-03	1.180815e+01	2.346063e+01
3.452400000000004e-03	1.180813e+01	2.346063e+01
3.462400000000004e-03	1.180812e+01	2.346063e+01
3.472400000000004e-03	1.180810e+01	2.346063e+01
3.482400000000004e-03	1.180809e+01	2.346063e+01
3.492400000000004e-03	1.180807e+01	2.346063e+01
3.502400000000004e-03	1.180806e+01	2.346063e+01
3.512400000000004e-03	1.180804e+01	2.346063e+01
3.522400000000004e-03	1.180802e+01	2.346063e+01
3.532400000000004e-03	1.180801e+01	2.346063e+01
3.542400000000004e-03	1.180799e+01	2.346063e+01
3.552400000000004e-03	1.180798e+01	2.346063e+01
3.562400000000004e-03	1.180796e+01	2.346063e+01
3.572400000000004e-03	1.180795e+01	2.346063e+01
3.582400000000004e-03	1.180793e+01	2.346063e+01
3.592400000000004e-03	1.180792e+01	2.346063e+01
3.602400000000004e-03	1.180790e+01	2.346063e+01
3.612400000000004e-03	1.180789e+01	2.346063e+01
3.622400000000004e-03	1.180787e+01	2.346063e+01
3.632400000000004e-03	1.180785e+01	2.346063e+01
3.642400000000004e-03	1.180784e+01	2.346063e+01
3.652400000000004e-03	1.180782e+01	2.346063e+01
3.662400000000004e-03	1.180781e+01	2.346063e+01
3.672400000000004e-03	1.180779e+01	2.346063e+01
3.682400000000005e-03	1.180778e+01	2.346063e+01
3.692400000000005e-03	1.180776e+01	2.346063e+01
3.702400000000005e-03	1.180774e+01	2.346063e+01
3.712400000000005e-03	1.180773e+01	2.346063e+01
3.722400000000005e-03	1.180771e+01	2.346063e+01
3.742400000000005e-03	1.180768e+01	2.346063e+01
3.762400000000005e-03	1.180765e+01	2.346063e+01
3.782400000000005e-03	1.180762e+01	2.346063e+01
3.802400000000005e-03	1.180759e+01	2.346063e+01
3.822400000000005e-03	1.180756e+01	2.346063e+01
3.842400000000005e-03	1.180753e+01	2.346063e+01
3.862400000000005e-03	1.180750e+01	2.346063e+01
3.892400000000005e-03	1.180745e+01	2.346063e+01
3.922400000000005e-03	1.180741e+01	2.346063e+01
3.952400000000003e-03	1.180736e+01	2.346063e+01
3.975257142857146e-03	1.180732e+01	2.346063e+01
